id;question;answer;unit;category;answer_type
307;Ile centymetrów ma maksymalna średnica piłki tenisowej?;6.86;cm;sport;fakt
308;Ile metrów ma długość boiska do koszykówki (FIBA)?;28.0;m;sport;fakt
309;Ile metrów ma szerokość boiska do koszykówki (FIBA)?;15.0;m;sport;fakt
310;Ile metrów ma długość boiska do siatkówki?;18.0;m;sport;fakt
311;Ile metrów ma szerokość boiska do siatkówki?;9.0;m;sport;fakt
312;Na jakiej wysokości jest siatka w siatkówce mężczyzn?;2.43;m;sport;fakt
313;Na jakiej wysokości jest siatka w siatkówce kobiet?;2.24;m;sport;fakt
314;Do ilu punktów gra się set w siatkówce (standardowo)?;25.0;pkt;sport;fakt
315;Ilu zawodników jest na boisku w drużynie piłkarskiej (na raz)?;11.0;osób;sport;fakt
316;Ilu zawodników jest na boisku w koszykówce (jedna drużyna)?;5.0;osób;sport;fakt
317;Ilu zawodników jest na boisku w siatkówce (jedna drużyna)?;6.0;osób;sport;fakt
318;Ilu zawodników jest na boisku w piłce ręcznej (jedna drużyna)?;7.0;osób;sport;fakt
319;Ile sekund trwa limit na rzut w koszykówce (shot clock)?;24.0;s;sport;fakt
320;Ile kręgli stoi na torze w bowlingu?;10.0;szt.;sport;fakt
321;Ile kart ma standardowa talia do gry bez jokerów?;52.0;szt.;gry;fakt
322;Ile kart ma talia z dwoma jokerami?;54.0;szt.;gry;typowo
323;Ile oczek ma suma wszystkich ścian na standardowej kostce do gry?;21.0;oczka;gry;fakt
324;Ile pionków ma gracz w warcabach na początku?;12.0;szt.;gry;fakt
325;Ile małych kostek (cubies) ma kostka Rubika 3x3 (bez elementu wewnętrznego)?;26.0;szt.;gry;fakt
326;Ile rund (maksymalnie) ma walka bokserska o tytuł (typowo)?;12.0;rund;sport;typowo
327;Ile sekund trwa jedna runda w boksie zawodowym?;180.0;s;sport;fakt
328;Ile minut trwa mecz koszykówki FIBA (bez przerw)?;40.0;min;sport;fakt
329;Ile minut trwa jedna kwarta w koszykówce FIBA?;10.0;min;sport;fakt
330;Ile minut trwa dogrywka w piłce nożnej (łącznie)?;30.0;min;sport;fakt
331;Ile pierścieni jest w symbolu olimpijskim?;5.0;szt.;ciekawostki;fakt
332;Ile kolorów ma tęcza w popularnym podziale?;7.0;szt.;ciekawostki;umownie
333;Ile kontynentów wyróżnia się zwykle na Ziemi?;7.0;szt.;geografia;umownie
334;Ile oceanów wyróżnia się zwykle na Ziemi?;5.0;szt.;geografia;umownie
335;Ile stref czasowych ma Ziemia (umownie)?;24.0;szt.;geografia/czas;umownie
336;Ile liter ma alfabet łaciński?;26.0;szt.;język;fakt
337;Ile stopni ma pełny obrót?;360.0;°;matematyka;fakt
338;Ile stopni ma kąt prosty?;90.0;°;matematyka;fakt
339;Ile stopni ma suma kątów w trójkącie?;180.0;°;matematyka;fakt
340;Ile miesięcy ma rok?;12.0;szt.;czas;fakt
341;Ile dni ma luty w roku przestępnym?;29.0;dni;czas;fakt
342;Ile bajtów ma 1 kibibajt (KiB)?;1024.0;B;technologia;fakt
343;Ile bitów ma 1 bajt?;8.0;bit;technologia;fakt
344;Ile megabajtów (MB) ma 1 gigabajt (GB) w uproszczeniu dziesiętnym?;1000.0;MB;technologia;umownie
345;Ile milimetrów ma średnica płyty CD?;120.0;mm;technologia;fakt
346;Ile minut muzyki mieści się na płycie CD (klasycznie)?;74.0;min;technologia/media;typowo
347;Ile klatek na sekundę ma klasyczny film kinowy?;24.0;fps;media;fakt
348;Ile znaków ma standardowy SMS bez polskich znaków?;160.0;znaków;technologia;fakt
349;Ile cyfr ma typowy kod PIN do karty?;4.0;cyfry;codzienne;typowo
350;Ile stron ma typowy komiks zeszytowy (w przybliżeniu)?;32.0;str.;media;typowo
351;Ile minut trwa typowy odcinek sitcomu bez reklam (w przybliżeniu)?;22.0;min;media;typowo
352;Ile minut trwa typowy odcinek serialu „godzinnego” bez reklam (w przybliżeniu)?;45.0;min;media;typowo
353;Ile klawiszy ma typowa klawiatura pełnowymiarowa (w przybliżeniu)?;104.0;szt.;technologia;typowo
354;Ile filmów obejmuje oryginalna trylogia „Gwiezdne Wojny”?;3.0;szt.;popkultura;fakt
355;Ile tomów ma klasycznie „Władca Pierścieni” (trylogia)?;3.0;szt.;popkultura;fakt
356;Ile osób tworzy zespół The Beatles?;4.0;osób;popkultura/muzyka;fakt
357;Ile strun ma standardowa gitara?;6.0;strun;muzyka;fakt
358;Ile strun mają skrzypce?;4.0;strun;muzyka;fakt
359;Ile minut trwa jedna strona płyty winylowej LP (w przybliżeniu)?;20.0;min;muzyka;typowo
360;Ile graczy jest na boisku w baseballu (jedna drużyna)?;9.0;osób;sport;fakt
361;Ile pól ma klasyczna plansza Monopoly (liczba pól dookoła)?;40.0;pól;gry;fakt
362;Ile domków maksymalnie można postawić na jednym polu w Monopoly?;4.0;szt.;gry;fakt
363;Ile hoteli można postawić na jednym polu w Monopoly?;1.0;szt.;gry;fakt
364;Ile minut ma tydzień?;10080.0;min;czas;fakt
365;Ile sekund trwa przeciętne mrugnięcie okiem (w przybliżeniu)?;0.3;s;człowiek;typowo
366;Ile razy na minutę mruga człowiek (typowo)?;15.0;razy/min;człowiek;typowo
367;Ile państw członkowskich ma ONZ?;193.0;szt.;świat;fakt
368;Ile zębów ma dorosły człowiek (z ósemkami)?;32.0;szt.;człowiek;fakt
369;Ile zębów mlecznych ma dziecko?;20.0;szt.;człowiek;fakt
370;Ile minut trwa przeciętny cykl snu (w przybliżeniu)?;90.0;min;zdrowie;typowo
371;Ile godzin śpi noworodek na dobę (typowo)?;16.0;h;zdrowie;typowo
372;Ile litrów krwi ma dorosły człowiek (w przybliżeniu)?;5.0;l;człowiek;typowo
373;Ile kilometrów na godzinę może biec gepard (w przybliżeniu)?;110.0;km/h;natura/zwierzęta;typowo
374;Ile kilometrów na godzinę potrafi biec struś (w przybliżeniu)?;70.0;km/h;natura/zwierzęta;typowo
375;Ile kilometrów na godzinę potrafi płynąć delfin (w przybliżeniu)?;35.0;km/h;natura/zwierzęta;typowo
376;Ile kilogramów waży przeciętny kot domowy (w przybliżeniu)?;4.0;kg;natura/zwierzęta;typowo
377;Ile kilogramów waży przeciętny labrador (w przybliżeniu)?;30.0;kg;natura/zwierzęta;typowo
378;Ile metrów może mieć dorosła żyrafa (w przybliżeniu)?;5.5;m;natura/zwierzęta;typowo
379;Ile metrów ma przeciętnie słoń afrykański w kłębie (w przybliżeniu)?;3.3;m;natura/zwierzęta;około
380;Ile kilogramów może ważyć dorosły słoń (w przybliżeniu)?;6000.0;kg;natura/zwierzęta;około
381;Ile metrów na sekundę ma prędkość dźwięku w powietrzu (w przybliżeniu)?;343.0;m/s;nauka;około
382;Ile kilometrów na godzinę ma prędkość dźwięku w powietrzu (w przybliżeniu)?;1235.0;km/h;nauka;około
383;Ile kilometrów na sekundę ma prędkość światła w próżni (w przybliżeniu)?;300000.0;km/s;nauka;około
384;Ile kilometrów na godzinę ma prędkość światła (w przybliżeniu)?;1080000000.0;km/h;nauka;wyliczone(≈)
385;Ile milimetrów ma grubość kartki papieru (w przybliżeniu)?;0.1;mm;codzienne;typowo
386;Ile gramów waży jedna kartka A4 papieru 80 g/m² (w przybliżeniu)?;5.0;g;codzienne;wyliczone(≈)
387;Jaki procent powierzchni Ziemi pokrywa woda (w przybliżeniu)?;71.0;%;geografia;około
388;Ile godzin trwa doba na Marsie („sol”, w przybliżeniu)?;24.6;h;kosmos;około
389;Ile dni trwa rok na Marsie (w przybliżeniu)?;687.0;dni;kosmos;około
390;Ile lat żyje przeciętnie pies (w przybliżeniu)?;12.0;lat;natura/zwierzęta;typowo
391;Ile lat żyje przeciętnie kot (w przybliżeniu)?;15.0;lat;natura/zwierzęta;typowo
392;Ile litrów wody zaleca się pić dziennie (w przybliżeniu)?;2.0;l;zdrowie;typowo
393;Ile milimetrów rośnie paznokieć u ręki w miesiącu (w przybliżeniu)?;3.0;mm;człowiek;typowo
394;Ile centymetrów rosną włosy w miesiącu (w przybliżeniu)?;1.2;cm;człowiek;typowo
395;Ile oddechów na minutę wykonuje dorosły w spoczynku (typowo)?;12.0;oddech/min;zdrowie;typowo
396;Ile uderzeń na minutę ma spoczynkowe tętno dorosłego (typowo)?;70.0;ud/min;zdrowie;typowo
397;Ile procent stanowi sól w wodzie morskiej (zasolenie, w przybliżeniu)?;3.5;%;natura;około
398;Ile kilometrów na godzinę może biec koń w galopie (w przybliżeniu)?;60.0;km/h;natura/zwierzęta;około
399;Ile kilometrów na godzinę może osiągnąć sprinter na 100 m (w przybliżeniu)?;45.0;km/h;sport;około
400;Ile kilogramów waży typowy noworodek (w przybliżeniu)?;3.5;kg;człowiek;typowo
